"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"CATEGORY";"COLOR";"COPYRIGHT";"CREATED_BY";"DATASHEET";"DATASHEET-URL";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY_PARTNO";"DIGIKEY_PN";"GENDER";"HEIGHT";"IR";"IR-UL";"IR-VDE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MATES";"MF";"MOUNT";"MOUSER_PART_NUMBER";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGING";"PART-NUMBER";"PART_STATUS";"PINS";"PITCH";"POPULARITY";"PURCHASE-URL";"RATING";"ROHS_COMPLIANT";"ROWS";"SERIES";"SOURCELIBRARY";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";"VOLTAGE_RATING";"WORKING-VOLTAGE-UL";"WORKING-VOLTAGE-VDE";
"1";"";"6130XX21821_61301621821";"61301621821";"JP4";"WR-PHD 2.54 mm Dual Socket Header";"";"";"";"";"";"";"https://katalog.we-online.com/em/datasheet/61301621821.pdf";"";"";"";"";"Socket Header";"";"3A";"";"";"";"";"";"WR-PHD 2.54mm SMT Dual Pin Header/THT Angled Dual Pin Header/THT Dual Board Stacker/THT Dual Pin Header";"";"";"";"";"";"";"";"Tray";" 61301621821 ";"";" 16 ";"";"";"";"";"";"Dual";"";"";"";"";"";"";"Straight";"";"";"";"";"";
"1";"";"6130XX21821_61302021821";"61302021821";"JP5";"WR-PHD 2.54 mm Dual Socket Header";"";"";"";"";"";"";"https://katalog.we-online.com/em/datasheet/61302021821.pdf";"";"";"";"";"Socket Header";"";"3A";"";"";"";"";"";"WR-PHD 2.54mm SMT Dual Pin Header/THT Angled Dual Pin Header/THT Dual Board Stacker/THT Dual Pin Header";"";"";"";"";"";"";"";"Tray";" 61302021821 ";"";" 20 ";"";"";"";"";"";"Dual";"";"";"";"";"";"";"Straight";"";"";"";"";"";
"1";"";"691313710002";"691313710002";"J2";"WR-TBL Serie 3137 - 5.00 mm Close Horizontal PCB Header";"";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/691313710002.pdf";"";"";"";"";"";"";"";"20A";"20A";"";"";"";"";"";"THT";"";"";"";"";"";"";" 691313710002 ";"";" 2 ";"5mm";"";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";"";"";"300V (AC)";"300V (AC)";
"2";"";"PINHD-2X20";"2X20";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X22/90";"2X22/90";"JP6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TEL_5_SERIES";"TEL_5_SERIES";"IC2";"TRACO POWER DC/DC converter TEL 5 Series created by Mario Blunk - electronics & IT engineering at www.train-z.de";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.01uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C12, C14";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17";"0.1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C4, C5, C6, C7, C8, C11, C13, C16, C17, C18, C19, C20, C21, C24, C25, C26, C27";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"01530008Z";"01530008Z";"01530008Z";"F1";"FUSE HOLDER BLADE 32V 15A PCB";"";"";"";"";" PCBLayout.com";"";"";"";"";"F065-ND";"";"";"";"";"";"";"Littelfuse Inc.";"";"";"";"";"";"";"";"01530008Z";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"10k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"1";"11.8K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"2";"1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C2, C3";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2mF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
